iter	Passed	Remaining
624	877	526
625	879	525
626	880	523
627	881	522
628	882	520
629	884	519
630	885	517
631	886	516
632	887	514
633	889	513
634	890	511
635	891	510
636	892	508
637	893	507
638	895	505
639	896	504
640	897	502
641	899	501
642	900	499
643	901	498
644	902	496
645	904	495
646	905	493
647	906	492
648	907	490
649	908	489
650	910	487
651	911	486
652	912	484
653	913	483
654	915	482
655	916	480
656	917	479
657	919	477
658	920	476
659	921	474
660	922	473
661	924	471
662	924	470
663	926	468
664	927	467
665	928	465
666	929	464
667	931	462
668	932	461
669	933	459
670	934	458
671	935	456
672	937	455
673	938	453
674	939	452
675	940	450
676	942	449
677	943	448
678	944	446
679	945	445
680	947	443
681	948	442
682	949	440
683	950	439
684	952	437
685	953	436
686	954	434
687	955	433
688	957	432
689	958	430
690	959	429
691	960	427
692	962	426
693	963	424
694	964	423
695	966	422
696	967	420
697	968	419
698	970	417
699	971	416
700	972	414
701	973	413
702	975	412
703	976	410
704	977	409
705	978	407
706	980	406
707	981	404
708	982	403
709	983	401
710	985	400
711	986	398
712	987	397
713	988	396
714	990	394
715	991	393
716	992	391
717	994	390
718	995	389
719	996	387
720	997	386
721	999	384
722	1000	383
723	1001	381
724	1002	380
725	1004	378
726	1005	377
727	1006	375
728	1007	374
729	1008	373
730	1009	371
731	1010	370
732	1012	368
733	1013	367
734	1014	365
735	1015	364
736	1016	362
737	1018	361
738	1019	360
739	1020	358
740	1021	357
741	1022	355
742	1024	354
743	1025	352
744	1026	351
745	1027	349
746	1029	348
747	1030	347
748	1031	345
749	1032	344
750	1034	342
751	1035	341
752	1036	340
753	1037	338
754	1038	337
755	1040	335
756	1041	334
757	1043	333
758	1044	331
759	1045	330
760	1046	328
761	1048	327
762	1049	325
763	1050	324
764	1051	323
765	1052	321
766	1054	320
767	1055	318
768	1056	317
769	1057	316
770	1059	314
771	1060	313
772	1061	311
773	1063	310
774	1064	309
775	1066	307
776	1067	306
777	1068	304
778	1069	303
779	1071	302
780	1072	300
781	1073	299
782	1074	297
783	1076	296
784	1077	295
785	1078	293
786	1079	292
787	1081	290
788	1082	289
789	1083	288
790	1084	286
791	1085	285
792	1087	283
793	1088	282
794	1089	280
795	1090	279
796	1092	278
797	1093	276
798	1094	275
799	1095	273
800	1097	272
801	1098	271
802	1099	269
803	1101	268
804	1102	267
805	1103	265
806	1104	264
807	1106	262
808	1107	261
809	1108	260
810	1109	258
811	1111	257
812	1112	255
813	1113	254
814	1114	253
815	1115	251
816	1117	250
817	1118	248
818	1119	247
819	1120	246
820	1122	244
821	1123	243
822	1124	241
823	1125	240
824	1126	239
825	1128	237
826	1129	236
827	1130	234
828	1131	233
829	1133	232
830	1134	230
831	1135	229
832	1136	227
833	1138	226
834	1139	225
835	1140	223
836	1141	222
837	1143	220
838	1144	219
839	1145	218
840	1146	216
841	1147	215
842	1149	214
843	1150	212
844	1151	211
845	1152	209
846	1154	208
847	1155	207
848	1156	205
849	1158	204
850	1159	202
851	1160	201
852	1161	200
853	1163	198
854	1164	197
855	1165	196
856	1166	194
857	1167	193
858	1169	191
859	1170	190
860	1171	189
861	1173	187
862	1174	186
863	1175	185
864	1176	183
865	1178	182
866	1179	180
867	1180	179
868	1181	178
869	1183	176
870	1184	175
871	1185	174
872	1186	172
873	1188	171
874	1189	169
875	1190	168
876	1191	167
877	1193	165
878	1194	164
879	1195	163
880	1197	161
881	1198	160
882	1199	158
883	1200	157
884	1202	156
885	1203	154
886	1204	153
887	1205	152
888	1207	150
889	1208	149
890	1209	147
891	1210	146
892	1212	145
893	1213	143
894	1214	142
895	1215	141
896	1217	139
897	1218	138
898	1219	137
899	1220	135
900	1221	134
901	1223	132
902	1225	131
903	1226	130
904	1227	128
905	1228	127
906	1229	126
907	1231	124
908	1232	123
909	1233	122
910	1234	120
911	1236	119
912	1237	117
913	1238	116
914	1239	115
915	1240	113
916	1242	112
917	1243	111
918	1244	109
919	1245	108
920	1246	106
921	1248	105
922	1249	104
923	1250	102
924	1252	101
925	1253	100
926	1254	98
927	1255	97
928	1256	96
929	1258	94
930	1259	93
931	1260	91
932	1261	90
933	1263	89
934	1264	87
935	1265	86
936	1266	85
937	1268	83
938	1269	82
939	1270	81
940	1271	79
941	1273	78
942	1274	77
943	1275	75
944	1276	74
945	1277	72
946	1279	71
947	1280	70
948	1281	68
949	1282	67
950	1283	66
951	1285	64
952	1286	63
953	1287	62
954	1288	60
955	1290	59
956	1291	58
957	1292	56
958	1294	55
959	1295	53
960	1296	52
961	1297	51
962	1299	49
963	1300	48
964	1301	47
965	1302	45
966	1303	44
967	1305	43
968	1306	41
969	1307	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1313	33
975	1315	32
976	1316	30
977	1317	29
978	1318	28
979	1319	26
980	1321	25
981	1322	24
982	1323	22
983	1324	21
984	1326	20
985	1327	18
986	1328	17
987	1329	16
988	1331	14
989	1332	13
990	1333	12
991	1334	10
992	1336	9
993	1337	8
994	1338	6
995	1339	5
996	1341	4
997	1342	2
998	1343	1
999	1344	0
